代碼,商品,均價
2412,中華電,117.42
2419,仲琦,36.52
2424,隴華,34.84
2439,美律,88.61
2444,兆勁,12.22
2450,神腦,35.68
2455,全新,127.86
2485,兆赫,20.16
2498,宏達電,50.9
3025,星通,41.32
3027,盛達,45.79
3045,台灣大,93.92
3047,訊舟,15.32
3062,建漢,20.35
3138,耀登,135.56
3311,閎暉,35.04
3380,明泰,36.98
3419,譁裕,18.4
3447,展達,41.44
3596,智易,138.97
3669,圓展,38.56
3682,亞太電,6.41
3694,海華,34.11
3704,合勤控,48.13
4904,遠傳,71.3
4906,正文,33.51
4977,眾達-KY,71.48
5388,中磊,114.39
6136,富爾特,18.61
6142,友勁,11.23
6152,百一,10.01
6216,居易,30.12
6285,啟碁,119.87
6416,瑞祺電通,83.1
6426,統新,67.15
6442,光聖,65.74
6674,鋐寶科技,27.71
6792,詠業,82.08
6863,永道-KY,140.74
8011,台通,16.77
8101,華冠,5.18
3081,聯亞,93.88
3095,及成,23.59
3152,璟德,187.37
3163,波若威,98
3221,台嘉碩,26.73
3234,光環,27.84
3306,鼎天,68.9
3363,上詮,61.72
3466,致振,24.66
3491,昇達科,139.68
3499,環天科,20.86
3558,神準,295.52
3564,其陽,42.35
3632,研勤,14.6
3664,安瑞-KY,26.54
3672,康聯訊,25.11
3684,榮昌,48.45
4903,聯光通,16.96
4905,台聯電,70.6
4908,前鼎,54.9
4909,新復興,22.7
4979,華星光,162.28
5348,系通,13.95
5353,台林,38.27
6109,亞元,15.29
6143,振曜,70.52
6163,華電網,19.38
6170,統振,51.17
6190,萬泰科,33.97
6218,豪勉,27.1
6241,易通展,13.35
6245,立端,105.98
6263,普萊德,122.94
6417,韋僑,122.78
6465,威潤,18.75
6470,宇智,70.13
6486,互動,68.93
6514,芮特-KY,49.81
6530,創威,27.6
6546,正基,85.87
6561,是方,371.66
6588,東典光電,29.06
8034,榮群,19.25
8048,德勝,78.34
8059,凱碩,13.94
8089,康全電訊,18.61
8097,常珵,53.11
8176,智捷,11.04
1471,首利,16.19
1582,信錦,59.03
2059,川湖,919.72
2308,台達電,340.7
2313,華通,42.87
2316,楠梓電,36.25
2327,國巨,460.2
2328,廣宇,38.88
2355,敬鵬,35.31
2367,燿華,16.44
2368,金像電,207.5
2375,凱美,61.22
2383,台光電,431.34
2385,群光,102.37
2392,正崴,42.85
2402,毅嘉,38.78
2413,環科,28.05
2415,錩新,35.05
2420,新巨,45.86
2421,建準,144.53
2428,興勤,158.56
2431,聯昌,10.62
2440,太空梭,14.2
2457,飛宏,69.6
2460,建通,26.1
2462,良得電,38.52
2467,志聖,44.69
2472,立隆電,54.81
2476,鉅祥,45.78
2478,大毅,44.87
2483,百容,24.45
2484,希華,34.31
2492,華新科,95.29
2493,揚博,66.7
3003,健和興,71.77
3011,今皓,32.84
3015,全漢,48.73
3021,鴻名,24.78
3023,信邦,321.21
3026,禾伸堂,93.81
3032,偉訓,68.25
3037,欣興,176.38
3042,晶技,95.42
3044,健鼎,182.59
3058,立德,20.38
3090,日電貿,51.91
3092,鴻碩,36.83
3229,晟鈦,14.5
3296,勝德,16.04
3308,聯德,47.99
3321,同泰,6.63
3338,泰碩,59.61
3376,新日興,80.57
3432,台端,10.91
3501,維熹,49.12
3533,嘉澤,785.66
3550,聯穎,15.47
3593,力銘,11.6
3605,宏致,26.87
3607,谷崧,14.59
3645,達邁,42.98
3653,健策,606.88
3679,新至陞,90.01
3715,定穎投控,41.06
4545,銘鈺,29.91
4912,聯德控股-KY,85.64
4915,致伸,64.24
4927,泰鼎-KY,52.18
4943,康控-KY,14.52
4958,臻鼎-KY,95.46
4989,榮科,26.51
4999,鑫禾,34.74
5469,瀚宇博,53.55
6108,競國,18.11
6115,鎰勝,45.25
6133,金橋,15.11
6141,柏承,16.89
6153,嘉聯益,22.02
6155,鈞寶,23.64
6191,精成科,55.95
6197,佳必琪,68.82
6205,詮欣,57.17
6213,聯茂,80.27
6224,聚鼎,56.31
6269,台郡,89.21
6282,康舒,51.31
6412,群電,110.42
6449,鈺邦,64.98
6672,騰輝電子-KY,99.07
6715,嘉基,118.41
6781,AES-KY,611.55
6834,天二科技,26.33
6835,圓裕,40.1
8039,台虹,41.77
8046,南電,232.55
8103,瀚荃,36.94
8213,志超,44.58
8249,菱光,29.26
1336,台翰,21.74
1595,川寶,38.41
1815,富喬,13.45
3078,僑威,86.81
3114,好德,26.13
3115,富榮綱,10.06
3191,和進,13.53
3202,樺晟,16.08
3206,志豐,48.71
3207,耀勝,84.36
3217,優群,122.23
3236,千如,26.15
3276,宇環,14.09
3288,點晶,22.61
3290,東浦,25.08
3294,英濟,18.23
3310,佳穎,94.19
3322,建舜電,22.16
3332,幸康,45.26
3354,律勝,14.56
3357,臺慶科,101.51
3388,崇越電,68.66
3390,旭軟,16.89
3465,進泰電子,74.23
3484,崧騰,41.44
3492,長盛,19.06
3511,矽瑪,31.57
3520,華盈,17.3
3526,凡甲,172.31
3537,堡達,36.85
3548,兆利,91.62
3597,映興,23
3609,三一東林,44.27
3624,光頡,53
3631,晟楠,--
3646,艾恩特,29.68
3689,湧德,68.29
3710,連展投控,9.91
4542,科嶠,32.2
4939,亞電,16.64
4974,亞泰,69.08
5227,立凱-KY,52.15
5228,鈺鎧,23.16
5291,邑昇,28.26
5309,系統電,35.93
5328,華容,14.06
5340,建榮,66.33
5355,佳總,7.23
5381,合正,21.73
5439,高技,101.84
5457,宣德,52.52
5460,同協,13.39
5464,霖宏,29.95
5475,德宏,12.65
5488,松普,12.53
5498,凱崴,11.05
6114,久威,34.22
6124,業強,32.59
6126,信音,32.22
6127,九豪,21.81
6134,萬旭,19.91
6156,松上,19.97
6158,禾昌,36.04
6173,信昌電,44
6174,安碁,23.13
6175,立敦,34.63
6185,幃翔,17.05
6194,育富,35.53
6203,海韻電,107.26
6204,艾華,75.16
6207,雷科,31.86
6208,日揚,47.58
6210,慶生,31.54
6217,中探針,43.83
6220,岳豐,26.36
6259,百徽,19.17
6266,泰詠,34.65
6274,台燿,125.11
6275,元山,46.65
6279,胡連,146.28
6284,佳邦,49.83
6290,良維,55.5
6292,迅德,45.85
6418,詠昇,24.76
6432,今展科,37.12
6538,倉和,172.69
6584,南俊國際,60.79
6642,富致,47.16
6664,群翊,171.14
6727,亞泰金屬,59.22
6761,穩得,78.52
6821,聯寶,40.56
8038,長園科,41.22
8042,金山電,35.18
8043,蜜望實,27.34
8071,能率網通,15.64
8074,鉅橡,19.04
8091,翔名,86.9
8093,保銳,17.25
8109,博大,111.94
8121,越峰,24.95
8147,正淩,71.02
8155,博智,143.31
8182,加高,29.63
8289,泰藝,36.12
8291,尚茂,--
8358,金居,65.34
2347,聯強,59.53
2414,精技,33.08
2430,燦坤,38.8
3010,華立,87.16
3028,增你強,30.47
3033,威健,28.95
3036,文曄,66.29
3048,益登,23.66
3055,蔚華科,40.36
3209,全科,33.49
3312,弘憶股,21.68
3528,安馳,50.07
3702,大聯大,53.26
5434,崇越,169.32
6189,豐藝,43.7
6281,全國電,84.94
6776,展碁國際,52.63
8070,長華*,29.99
8072,陞泰,25.67
8112,至上,50.17
3224,三顧,44.01
3232,昱捷,23.71
3360,尚立,12.14
3444,利機,76.24
6113,亞矽,14.49
6118,建達,26.66
6154,順發,16.76
6227,茂綸,46.37
6265,方土昶,10.07
6270,倍微,22.19
8032,光菱,31.38
8067,志旭,14.7
8068,全達,27.63
8084,巨虹,88.9
8096,擎亞,10.62
2427,三商電,23.52
2453,凌群,52.56
2468,華經,27.67
2471,資通,50.85
2480,敦陽科,113.06
3029,零壹,61.9
4994,傳奇,43.26
5203,訊連,93.17
6112,邁達特,61.82
6183,關貿,67.17
6214,精誠,110.09
3147,大綜,75.54
3570,大塚,127.18
4953,緯軟,120.76
5201,凱衛,30.71
5202,力新,15.39
5210,寶碩,19.8
5211,蒙恬,22.57
5212,凌網,44.96
5310,天剛,26.57
5403,中菲,107.37
5410,國眾,32.28
6123,上奇,64.26
6140,訊達,20.13
6148,驊宏資,34.94
6221,晉泰,74.9
6231,系微,141.26
6404,通訊-KY,19.47
6516,勤崴國際,87.64
6590,普鴻,84.88
6593,台灣銘板,79.1
6697,東捷資訊,51.78
6751,智聯服務,91.98
6752,叡揚,125.9
6791,虎門科技,87.22
6865,偉康科技,67.54
6874,倍力,121.12
8099,大世科,49.28
8284,三竹,59.16
8416,實威,133.67
2312,金寶,16.54
2317,鴻海,106.18
2354,鴻準,54.94
2359,所羅門,40.46
2360,致茂,270.5
2373,震旦行,75.57
2390,云辰,12.05
2404,漢唐,227.76
2423,固緯,33.39
2433,互盛電,50.85
2459,敦吉,58.5
2461,光群雷,23.08
2464,盟立,37.62
2474,可成,166.83
2477,美隆電,19.88
2482,連宇,51.59
2488,漢平,37.97
3018,隆銘綠能,10.18
3030,德律,59.05
3043,科風,54.23
3305,昇貿,62.18
3518,柏騰,38.26
3617,碩天,232.02
3665,貿聯-KY,265.87
5225,東科-KY,46.22
6139,亞翔,89.63
6192,巨路,84.77
6196,帆宣,137.98
6201,亞弘電,45.42
6215,和椿,24.62
6283,淳安,31.03
6409,旭隼,1561.32
6438,迅得,100.28
6558,興能高,24.07
6691,洋基工程,275.8
6698,旭暉應材,35.39
6743,安普新,49.64
6830,汎銓,171.01
8021,尖點,27.14
8201,無敵,19.59
8499,鼎炫-KY,97.51
1785,光洋科,36.44
3067,全域,40.25
3093,港建*,32.05
3131,弘塑,569.96
3219,倚強科,52.38
3285,微端,23.24
3289,宜特,104.2
3303,岱稜,25.55
3324,雙鴻,308.89
3373,熱映,19.35
3402,漢科,49.48
3498,陽程,35.34
3508,位速,29.86
3541,西柏,40.89
3552,同致,126.74
3580,友威科,52.82
3587,閎康,284.21
3628,盈正,44.6
3663,鑫科,33.9
4554,橙的,27.35
4577,達航科技,28.07
4760,勤凱,68.74
5383,金利,30.64
5452,佶優,22.75
5489,彩富,36.48
5493,三聯,48
5536,聖暉*,156.5
6146,耕興,255.73
6151,晉倫,26.09
6187,萬潤,109.57
6512,啟發電,--
6613,朋億*,124.23
6654,天正國際,--
6667,信紘科,76.43
6735,美達科技,51.55
6840,東研信超,64.3
6855,數泓科,83.94
6877,鏵友益,39.52
8047,星雲,11.42
8085,福華,41.95
8092,建暐,12.09
8183,精星,47.73
8383,千附,38.09
8431,匯鑽科,58.51
8455,大拓-KY,--
1316,上曜,11.99
1436,華友聯,63.89
1438,三地開發,30.08
1439,雋揚,22.43
1442,名軒,34.52
1453,大將,13.87
1456,怡華,16.75
1472,三洋實業,45.26
1805,寶徠,10.03
1808,潤隆,88.63
2442,新美齊,19.18
2501,國建,15.01
2504,國產,26.6
2505,國揚,19.03
2506,太設,9.07
2509,全坤建,14.89
2511,太子,11.03
2515,中工,10.01
2516,新建,6.95
2520,冠德,32.63
2524,京城,30.71
2527,宏璟,23.35
2528,皇普,28.84
2530,華建,25.5
2534,宏盛,19.04
2535,達欣工,33.16
2536,宏普,25.23
2537,聯上發,7.12
2538,基泰,14.15
2539,櫻花建,45.33
2540,愛山林,95.78
2542,興富發,42.81
2543,皇昌,10.38
2545,皇翔,39.13
2546,根基,72.45
2547,日勝生,8.73
2548,華固,89.27
2597,潤弘,102.24
2923,鼎固-KY,22.41
3052,夆典,12.44
3056,總太,31.61
3266,昇陽,13.41
3703,欣陸,26.24
5515,建國,14.03
5519,隆大,22.82
5521,工信,7.21
5522,遠雄,56.31
5525,順天,26.1
5531,鄉林,9.69
5533,皇鼎,18.39
5534,長虹,77.3
5546,永固-KY,36.27
6177,達麗,32.19
9906,欣巴巴,57.33
9946,三發地產,13.88
2596,綠意,21.74
2718,晶悅,46.62
3188,鑫龍騰,14.46
3489,森寶,11.38
3512,皇龍,28.94
4113,聯上,21.17
4416,三圓,75.6
4907,富宇,37.15
5206,坤悅,19.53
5213,亞昕,25.9
5324,士開,9.73
5455,昇益,27.03
5508,永信建,71.53
5511,德昌,76.08
5512,力麒,9.05
5514,三豐,20.05
5516,雙喜,29.02
5520,力泰,63.23
5523,豐謙,25.69
5529,鉅陞,11.05
5543,桓鼎-KY,--
6171,大城地產,21.22
6186,新潤,48.57
6212,理銘,42.91
6219,富旺,22.86
6264,富裔,7.34
8080,永利聯合,10.4
8424,惠普,67.83
2208,台船,21.58
2603,長榮,108.43
2605,新興,20.56
2606,裕民,48.26
2607,榮運,28.85
2608,嘉里大榮,36.51
2609,陽明,44.4
2610,華航,23.92
2611,志信,13.75
2612,中航,42.36
2613,中櫃,21.3
2615,萬海,50.46
2617,台航,30.34
2618,長榮航,33.54
2630,亞航,32.02
2633,台灣高鐵,29.4
2634,漢翔,55.04
2636,台驊投控,77.25
2637,慧洋-KY,47.18
2642,宅配通,41.12
2645,長榮航太,114.69
5607,遠雄港,57.43
5608,四維航,20.14
6753,龍德造船,97.39
8367,建新國際,42.37
2641,正德,16.85
2643,捷迅,67.71
5601,台聯櫃,35.28
5603,陸海,21.12
5609,中菲行,76.58
2701,萬企,12.66
2702,華園,21.77
2704,國賓,53.31
2705,六福,17.42
2706,第一店,15.18
2707,晶華,226.91
2712,遠雄來,34.3
2722,夏都,55.92
2723,美食-KY,111.36
2727,王品,285.29
2731,雄獅,134.51
2739,寒舍,42.29
2748,雲品,73.06
2753,八方雲集,168.67
5706,鳳凰,76.5
8940,新天地,23.88
9943,好樂迪,90.37
1259,安心,75
1268,漢來美食,145.72
2719,燦星旅,63.42
2724,富驛-KY,--
2726,雅茗-KY,22.61
2729,瓦城,290.77
2732,六角,126.81
2734,易飛網,44.05
2736,富野,34.08
2740,天蔥,--
2743,山富,112.73
2745,五福,81.98
2752,豆府,255.63
2754,亞洲藏壽司,149.89
2755,揚秦,110.45
2756,聯發國際,122.1
3252,海灣,20.47
3522,御頂,15.7
4530,宏易,6.16
4804,大略-KY,4.89
5301,寶得利,12.94
5364,力麗店,--
5701,劍湖山,7.04
5703,亞都,24.08
5704,老爺知,51.02
5905,南仁湖,11.92
8077,洛碁,35.21
2801,彰銀,17.18
2809,京城銀,36.37
2812,台中銀,14.55
2816,旺旺保,20.43
2820,華票,14.48
2832,台產,22.81
2834,臺企銀,13.68
2836,高雄銀,12.02
2838,聯邦銀,14.59
2845,遠東銀,11.39
2849,安泰銀,13.82
2850,新產,57.16
2851,中再保,23.2
2852,第一保,15.84
2855,統一證,19.1
2867,三商壽,5.1
2880,華南金,20.85
2881,富邦金,62.48
2882,國泰金,45.14
2883,開發金,11.91
2884,玉山金,24.65
2885,元大金,23.95
2886,兆豐金,35.74
2887,台新金,17.65
2888,新光金,9.35
2889,國票金,11.7
2890,永豐金,17.1
2891,中信金,23.44
2892,第一金,26.31
2897,王道銀行,9.02
5876,上海商銀,42.32
5880,合庫金,26.54
6005,群益證,14.66
6024,群益期,43.14
5864,致和證,21.51
5878,台名,--
6015,宏遠證,11.33
6016,康和證,13.78
6020,大展證,18.8
6021,美好證,14.62
6023,元大期,55.49
6026,福邦證,12.73
2601,益航,8.76
2901,欣欣,25.46
2903,遠百,21.97
2905,三商,13.88
2906,高林,18.43
2908,特力,20.15
2910,統領,28.75
2911,麗嬰房,6.85
2912,統一超,270.71
2913,農林,24.82
2915,潤泰全,59.04
2929,淘帝-KY,10.49
2939,凱羿-KY,28.44
2945,三商家購,40.7
4807,日成-KY,18.11
5906,台南-KY,57.13
5907,大洋-KY,12.6
8429,金麗-KY,9.92
8443,阿瘦,11.73
2616,山隆,30.76
6505,台塑化,78.99
8926,台汽電,43.17
9908,大台北,32.72
9918,欣天然,40.72
9926,新海,54.92
9931,欣高,41.2
9937,全國,66.57
8908,欣雄,69.22
8917,欣泰,--
8927,北基,50.04
8931,大汽電,47.43
3708,上緯投控,92.5
6581,鋼聯,89.05
6641,基士德-KY,47.5
6806,森崴能源,97.41
8341,日友,114.26
8422,可寧衛,179.84
8438,昶昕,27.61
8473,山林水,27.38
9930,中聯資源,51.2
9955,佳龍,21.94
3073,天方能源,29.21
3551,世禾,68.98
3713,新晶投控,26.05
5205,中茂,32.03
6624,萬年清,47.07
6803,崑鼎,312.86
8087,華鎂鑫,51.8
8171,天宇,38.71
8390,金益鼎,48.6
8423,保綠-KY,23
8440,綠電,36.73
8476,台境,62.86
3130,一零四,205.75
6165,浪凡,33.96
6689,伊雲谷,120.01
8454,富邦媒,530.66
2640,大車隊,109.66
3085,新零售,19.1
3687,歐買尬,86.69
5278,尚凡,177.25
5287,數字,220.31
5321,美而快,88.04
6690,安碁資訊,161.86
6741,91APP*-KY,100.73
6763,綠界科技,438.98
6811,宏碁資訊,294.71
8044,網家,41.38
8472,夠麻吉,31.59
8477,創業家,14.14
1432,大魯閣,16.69
1598,岱宇,31.96
1736,喬山,72.33
4536,拓凱,162.27
5306,桂盟,142.75
6670,復盛應用,195.48
6768,志強-KY,61.66
8462,柏文,143.88
8467,波力-KY,60.67
8478,東哥遊艇,448.18
9802,鈺齊-KY,120.23
9904,寶成,29.58
9910,豐泰,168.61
9914,美利達,193.14
9921,巨大,204.31
1593,祺驊,69.63
6804,明係,62.44
8420,明揚,78.33
8924,大田,86.16
8928,鉅明,32.2
8933,愛地雅,10.13
8938,明安,71.69
9960,邁達康,26.41
2062,橋椿,22.03
3557,嘉威,52.58
6671,三能-KY,39.43
6754,匯僑設計,47.87
6807,峰源-KY,25.46
8464,億豐,303.04
8482,商億-KY,66.6
9911,櫻花,62.37
9924,福興,42.04
9934,成霖,14.91
9935,慶豐富,18.16
2916,滿心,44.16
2924,宏太-KY,--
2937,集雅社,29.85
2947,振宇五金,88
3171,新洲,18.24
4609,唐鋒,6.11
4702,中美實,13.33
5902,德記,36.65
5903,全家,207.09
5904,寶雅,487.36
6195,詩肯,41.03
6616,特昇-KY,13.46
6629,泰金-KY,48.5
6728,上洋,128.36
8066,來思達,29.11
8433,弘帆,80.08
8941,關中,58.55
1342,八貫,104.87
1416,廣豐,10.28
1437,勤益控,28.16
1443,立益物流,29.15
1516,川飛,19.25
2348,海悅,68.9
2358,廷鑫,9.4
2443,昶虹,3.42
2496,卓越,51.59
2514,龍邦,16.27
2904,匯僑,19.22
3040,遠見,29.76
5284,jpp-KY,137.49
5871,中租-KY,180.59
6184,大豐電,50.5
6464,台數科,88.88
6504,南六,78.54
6585,鼎基,92.93
6592,和潤企業,128.93
6625,必應,100.51
6655,科定,122.95
8033,雷虎,53.37
8404,百和興業-KY,20.25
8411,福貞-KY,13.99
8442,威宏-KY,76.94
8463,潤泰材,23.21
8466,美吉吉-KY,42.38
8481,政伸,52.68
8488,吉源-KY,16.93
9902,台火,11.82
9905,大華,24.18
9907,統一實,17.31
9917,中保科,107.9
9919,康那香,16.88
9925,新保,40.03
9927,泰銘,54.94
9928,中視,17.76
9929,秋雨,12.27
9933,中鼎,39.44
9938,百和,47.31
9939,宏全,99.26
9940,信義,28.59
9941,裕融,174.29
9942,茂順,142.73
9944,新麗,19.7
9945,潤泰新,33.06
1584,精剛,32.41
2221,大甲,33.92
3284,太普高,16.21
3313,斐成,10.42
4154,樂威科-KY,14.91
4430,耀億,22.17
4529,淳紳,8.61
4541,晟田,34.59
4556,旭然,29.44
4950,牧東,10.89
5209,新鼎,161.13
5276,達輝-KY,16.29
5345,天揚,4.8
5398,慕康生醫,13.45
5450,南良,17.68
5481,新華,13.57
5530,龍巖,35.93
5604,中連,46.2
6179,亞通,29.66
6199,天品,17.11
6236,康呈,19.8
6240,松崗,21.79
6721,信實,51.3
8342,益張,58.24
8354,冠好,14.33
8401,白紗科,20.03
8418,捷必勝-KY,8.91
8421,旭源,13.03
8426,紅木-KY,58.25
8435,鉅邁,60.71
8437,大地-KY,92.52
8444,綠河-KY,37.61
8489,三貝德,23.42
8905,裕國,28.21
8906,花王,16.2
8916,光隆,50.72
8921,沈氏,14.33
8929,富堡,20.38
8932,宏大,74.1
8935,邦泰,11.97
8936,國統,31.15
8937,合騏,21.3
8942,森鉅,75.13
2926,誠品生活,62.2
3064,泰偉,14.65
3083,網龍,43.11
3086,華義,67.54
3293,鈊象,565.53
3546,宇峻,76.63
3629,地心引力,42.35
4946,辣椒,30.45
5263,智崴,114.14
5478,智冠,95.81
6101,寬魚國際,39.81
6111,大宇資,81.22
6144,得利影,--
6169,昱泉,20.53
6180,橘子,66.75
6294,智基,110.23
6482,弘煜科,42.18
6542,隆中,56.82
6596,寬宏藝術,50.44
8446,華研,102.58
8450,霹靂,23.85
8923,時報,19.44
9949,琉園,12.92
1240,茂生農經,46.5
4171,瑞基,36.82
6508,惠光,34.65
6578,達邦蛋白,16.41
